global_step,epoch,lr,train_loss_step
0,1,0.001,0.6664518117904663
1,1,0.001,0.541648268699646
2,1,0.001,0.496282696723938
3,1,0.001,0.43490317463874817
4,1,0.001,0.35889148712158203
5,1,0.001,0.37795472145080566
6,1,0.001,0.3075668215751648
7,1,0.001,0.3080897629261017
8,1,0.001,0.2922964096069336
9,1,0.001,0.25728923082351685
10,1,0.001,0.2465616762638092
11,1,0.001,0.3202812969684601
12,1,0.001,0.3331209421157837
13,1,0.001,0.22990049421787262
14,1,0.001,0.30372852087020874
15,1,0.001,0.23636707663536072
16,1,0.001,0.20824751257896423
17,1,0.001,0.20620432496070862
18,1,0.001,0.19140219688415527
19,1,0.001,0.1848737746477127
20,1,0.001,0.2706405520439148
21,1,0.001,0.2092256247997284
22,1,0.001,0.20153376460075378
23,1,0.001,0.22076012194156647
24,1,0.001,0.19008329510688782
25,1,0.001,0.2117076963186264
26,1,0.001,0.17470617592334747
27,1,0.001,0.21146929264068604
28,1,0.001,0.16659978032112122
29,1,0.001,0.1525493562221527
30,1,0.001,0.18907782435417175
31,1,0.001,0.2157314419746399
32,1,0.001,0.16388243436813354
33,1,0.001,0.1532520353794098
34,1,0.001,0.2089068740606308
35,1,0.001,0.15982744097709656
36,1,0.001,0.15402865409851074
37,1,0.001,0.1322413682937622
38,1,0.001,0.2116173803806305
39,1,0.001,0.1686396300792694
40,1,0.001,0.12463844567537308
41,1,0.001,0.13311432301998138
42,1,0.001,0.2393726110458374
43,1,0.001,0.13943293690681458
44,1,0.001,0.1421680897474289
45,1,0.001,0.13398507237434387
46,1,0.001,0.13409744203090668
47,1,0.001,0.1650603711605072
48,1,0.001,0.11485472321510315
49,1,0.001,0.1156923919916153
50,1,0.001,0.12023111432790756
51,1,0.001,0.12297928333282471
52,1,0.001,0.10892478376626968
53,1,0.001,0.14644363522529602
54,1,0.001,0.13045398890972137
55,1,0.001,0.11398251354694366
56,1,0.001,0.13460569083690643
57,1,0.001,0.22355341911315918
58,1,0.001,0.15106062591075897
59,1,0.001,0.11020579934120178
60,1,0.001,0.1465308964252472
61,1,0.001,0.1684199869632721
62,1,0.001,0.18360605835914612
63,1,0.001,0.10881125926971436
64,1,0.001,0.10839834809303284
65,1,0.001,0.12421517819166183
66,1,0.001,0.11962296068668365
67,1,0.001,0.10143435001373291
68,1,0.001,0.1066584661602974
69,1,0.001,0.11300072818994522
70,1,0.001,0.13431009650230408
71,1,0.001,0.17744767665863037
72,1,0.001,0.13590958714485168
73,1,0.001,0.129806250333786
74,1,0.001,0.12958484888076782
75,1,0.001,0.13148100674152374
76,1,0.001,0.143877774477005
77,1,0.001,0.2576140761375427
78,1,0.001,0.1900329440832138
79,1,0.001,0.11668223887681961
80,1,0.001,0.14076778292655945
81,1,0.001,0.10579445958137512
82,1,0.001,0.1836218535900116
83,1,0.001,0.12056049704551697
84,1,0.001,0.13575778901576996
85,1,0.001,0.11736385524272919
86,1,0.001,0.11077961325645447
87,1,0.001,0.20593497157096863
88,1,0.001,0.139906108379364
89,1,0.001,0.130067378282547
90,1,0.001,0.11201391369104385
91,1,0.001,0.13767044246196747
92,1,0.001,0.1319068819284439
93,1,0.001,0.13254845142364502
94,1,0.001,0.1304677426815033
95,1,0.001,0.08339012414216995
96,1,0.001,0.09160596132278442
97,1,0.001,0.09847605228424072
98,1,0.001,0.09894394874572754
99,1,0.001,0.10955363512039185
100,1,0.001,0.10388635843992233
101,1,0.001,0.09438885748386383
102,1,0.001,0.1257716566324234
103,1,0.001,0.10529391467571259
104,1,0.001,0.08690033853054047
105,1,0.001,0.10868147015571594
106,1,0.001,0.0878649353981018
107,1,0.001,0.16016730666160583
108,1,0.001,0.15576142072677612
109,1,0.001,0.1359265148639679
110,1,0.001,0.11302699148654938
111,1,0.001,0.11814729869365692
112,1,0.001,0.10598142445087433
113,1,0.001,0.08817864954471588
114,1,0.001,0.09138435125350952
115,1,0.001,0.08773438632488251
116,1,0.001,0.07544106990098953
117,1,0.001,0.10436635464429855
118,1,0.001,0.07944364845752716
119,1,0.001,0.11991513520479202
120,1,0.001,0.20351578295230865
121,1,0.001,0.15900671482086182
122,1,0.001,0.14193066954612732
123,1,0.001,0.14083468914031982
124,1,0.001,0.11107571423053741
125,1,0.001,0.08203341066837311
126,1,0.001,0.07718393206596375
127,1,0.001,0.09830285608768463
128,1,0.001,0.07811373472213745
129,1,0.001,0.09314993023872375
130,1,0.001,0.08093046396970749
131,1,0.001,0.14643006026744843
132,1,0.001,0.1527930051088333
133,1,0.001,0.08605020493268967
134,1,0.001,0.14185674488544464
135,1,0.001,0.13716042041778564
136,1,0.001,0.09575574845075607
137,1,0.001,0.08910509198904037
138,1,0.001,0.08772197365760803
139,1,0.001,0.1131756603717804
140,1,0.001,0.12885478138923645
141,1,0.001,0.0847180038690567
142,1,0.001,0.1215609461069107
143,1,0.001,0.09076852351427078
144,1,0.001,0.07363690435886383
145,1,0.001,0.07641561329364777
146,1,0.001,0.0810701847076416
147,1,0.001,0.147795170545578
148,1,0.001,0.20670902729034424
149,1,0.001,0.09033863246440887
150,1,0.001,0.11078326404094696
151,1,0.001,0.1005011722445488
152,1,0.001,0.1381016969680786
153,1,0.001,0.0871557891368866
154,1,0.001,0.06460610777139664
155,1,0.001,0.07095052301883698
156,1,0.001,0.1468237042427063
157,1,0.001,0.08121129870414734
158,1,0.001,0.08316349983215332
159,1,0.001,0.09333668649196625
160,1,0.001,0.10363113135099411
161,1,0.001,0.08722786605358124
162,1,0.001,0.146321102976799
163,1,0.001,0.10413005948066711
164,1,0.001,0.10942073166370392
165,1,0.001,0.19875267148017883
166,1,0.001,0.11172449588775635
167,1,0.001,0.11928805708885193
168,1,0.001,0.16321320831775665
169,1,0.001,0.11659006774425507
170,1,0.001,0.09225344657897949
171,1,0.001,0.0956544429063797
172,1,0.001,0.09790672361850739
173,1,0.001,0.08069103956222534
174,1,0.001,0.09989544749259949
175,1,0.001,0.14959901571273804
176,1,0.001,0.12125818431377411
177,1,0.001,0.12849308550357819
178,1,0.001,0.08638201653957367
179,1,0.001,0.10840354859828949
180,1,0.001,0.13363954424858093
181,1,0.001,0.14895762503147125
182,1,0.001,0.16374965012073517
183,1,0.001,0.26614630222320557
184,1,0.001,0.18178915977478027
185,1,0.001,0.14259880781173706
186,1,0.001,0.13320161402225494
187,1,0.001,0.10344214737415314
188,1,0.001,0.08158384263515472
189,1,0.001,0.11947882920503616
190,1,0.001,0.09543760120868683
191,1,0.001,0.09329146146774292
192,1,0.001,0.1180286630988121
193,1,0.001,0.12446872144937515
194,1,0.001,0.08998121321201324
195,1,0.001,0.09562058001756668
196,1,0.001,0.0572122298181057
197,1,0.001,0.07569877058267593
198,1,0.001,0.08740554004907608
199,1,0.001,0.07832419872283936
200,1,0.001,0.0814526304602623
201,1,0.001,0.08660145103931427
202,1,0.001,0.08297191560268402
203,1,0.001,0.09621286392211914
204,1,0.001,0.10213570296764374
205,1,0.001,0.05636002495884895
206,1,0.001,0.1502114236354828
207,1,0.001,0.14693570137023926
208,1,0.001,0.13876134157180786
209,1,0.001,0.1101221963763237
210,1,0.001,0.1111084371805191
211,1,0.001,0.14303629100322723
212,1,0.001,0.07640745490789413
213,1,0.001,0.09930326044559479
214,1,0.001,0.1013127863407135
215,1,0.001,0.05889960378408432
216,1,0.001,0.0922219306230545
217,1,0.001,0.09207429736852646
218,1,0.001,0.09440968930721283
219,1,0.001,0.18192419409751892
220,1,0.001,0.10831286013126373
221,1,0.001,0.10138244926929474
222,1,0.001,0.11807464808225632
223,1,0.001,0.06275441497564316
224,1,0.001,0.06398151069879532
225,1,0.001,0.06800449639558792
226,1,0.001,0.0727139413356781
227,1,0.001,0.0814829170703888
228,1,0.001,0.08083321154117584
229,1,0.001,0.058893367648124695
230,1,0.001,0.15481269359588623
231,1,0.001,0.06404408067464828
232,1,0.001,0.10917839407920837
233,1,0.001,0.10700134932994843
234,1,0.001,0.1741085797548294
235,1,0.001,0.12206509709358215
236,1,0.001,0.05206913501024246
237,1,0.001,0.09018565714359283
238,1,0.001,0.08488459885120392
239,1,0.001,0.06612764298915863
240,1,0.001,0.0685199573636055
241,1,0.001,0.13590554893016815
242,1,0.001,0.0733547955751419
243,1,0.001,0.08999191969633102
244,1,0.001,0.10977944731712341
245,1,0.001,0.07962044328451157
246,1,0.001,0.1486959457397461
247,1,0.001,0.11512824892997742
248,1,0.001,0.10839901864528656
249,1,0.001,0.08690524101257324
250,1,0.001,0.07182226330041885
251,1,0.001,0.1242874264717102
252,1,0.001,0.12205280363559723
253,1,0.001,0.09484347701072693
254,1,0.001,0.06807949393987656
255,1,0.001,0.09116961807012558
256,1,0.001,0.08559431880712509
257,1,0.001,0.14015068113803864
258,1,0.001,0.06683267652988434
259,1,0.001,0.08355056494474411
260,1,0.001,0.11333363503217697
261,1,0.001,0.07981505990028381
262,1,0.001,0.06523706763982773
263,1,0.001,0.07395216077566147
264,1,0.001,0.08141714334487915
265,1,0.001,0.08997804671525955
266,1,0.001,0.0686146467924118
267,1,0.001,0.07850512862205505
268,1,0.001,0.06526876240968704
269,1,0.001,0.085549496114254
270,1,0.001,0.07528360188007355
271,1,0.001,0.14814771711826324
272,1,0.001,0.10486617684364319
273,1,0.001,0.07022131979465485
274,1,0.001,0.07030219584703445
275,1,0.001,0.16888603568077087
276,1,0.001,0.09692983329296112
277,1,0.001,0.060642749071121216
278,1,0.001,0.09309892356395721
279,1,0.001,0.1457860767841339
280,1,0.001,0.23757828772068024
281,1,0.001,0.07496717572212219
282,1,0.001,0.14750990271568298
283,1,0.001,0.0735330730676651
284,1,0.001,0.0965253934264183
285,1,0.001,0.08405124396085739
286,1,0.001,0.0714273601770401
287,1,0.001,0.06032542884349823
288,1,0.001,0.11531662195920944
289,1,0.001,0.23566977679729462
290,1,0.001,0.1511141061782837
291,1,0.001,0.08946402370929718
292,1,0.001,0.06329163908958435
293,1,0.001,0.07694786787033081
294,1,0.001,0.07439177483320236
295,1,0.001,0.07897951453924179
296,1,0.001,0.10422950983047485
297,1,0.001,0.09092476963996887
298,1,0.001,0.07208843529224396
299,1,0.001,0.08030207455158234
300,1,0.001,0.10114891827106476
301,1,0.001,0.07698661834001541
302,1,0.001,0.0802220031619072
303,1,0.001,0.1169603168964386
304,1,0.001,0.06206314638257027
305,1,0.001,0.08508667349815369
306,1,0.001,0.07824519276618958
307,1,0.001,0.10791189968585968
308,1,0.001,0.11150344461202621
309,1,0.001,0.09822235256433487
310,1,0.001,0.09019297361373901
311,1,0.001,0.1081482321023941
312,1,0.001,0.06516111642122269
313,1,0.001,0.13204334676265717
314,1,0.001,0.08358125388622284
315,1,0.001,0.0941942110657692
316,1,0.001,0.12164492160081863
317,1,0.001,0.23292101919651031
318,1,0.001,0.113188236951828
319,1,0.001,0.1325596272945404
320,1,0.001,0.1706363558769226
321,1,0.001,0.08956089615821838
322,1,0.001,0.12498150765895844
323,1,0.001,0.1561441570520401
324,1,0.001,0.09214536100625992
325,1,0.001,0.10977718234062195
326,1,0.001,0.0926356166601181
327,1,0.001,0.08059503138065338
328,1,0.001,0.1576375663280487
329,1,0.001,0.11119399964809418
330,1,0.001,0.07525452226400375
331,1,0.001,0.07477349042892456
332,1,0.001,0.08566100895404816
333,1,0.001,0.08322091400623322
334,1,0.001,0.14942307770252228
335,1,0.001,0.2550945281982422
336,1,0.001,0.08940340578556061
337,1,0.001,0.06770610809326172
338,1,0.001,0.07332488894462585
339,1,0.001,0.1482008397579193
340,1,0.001,0.22225552797317505
341,1,0.001,0.10865624248981476
342,1,0.001,0.09825791418552399
343,1,0.001,0.10460199415683746
344,1,0.001,0.07108679413795471
345,1,0.001,0.07823364436626434
346,1,0.001,0.06614778935909271
347,1,0.001,0.08326542377471924
348,1,0.001,0.07254928350448608
349,1,0.001,0.08948110044002533
350,1,0.001,0.07345586270093918
351,1,0.001,0.1360672116279602
352,1,0.001,0.1214357316493988
353,1,0.001,0.0970974788069725
354,1,0.001,0.06939191371202469
355,1,0.001,0.10566039383411407
356,1,0.001,0.0650501549243927
357,1,0.001,0.10750892758369446
358,1,0.001,0.1409369707107544
359,1,0.001,0.0739927589893341
360,1,0.001,0.07100017368793488
361,1,0.001,0.06811656057834625
362,1,0.001,0.0983317419886589
363,1,0.001,0.06103919446468353
364,1,0.001,0.06507508456707001
365,1,0.001,0.07257461547851562
366,1,0.001,0.06745174527168274
367,1,0.001,0.10546398162841797
368,1,0.001,0.12963327765464783
369,1,0.001,0.07016923278570175
370,1,0.001,0.0631905049085617
371,1,0.001,0.06732824444770813
372,1,0.001,0.09055249392986298
373,1,0.001,0.08818213641643524
374,1,0.001,0.08154541254043579
375,1,0.001,0.10677066445350647
376,1,0.001,0.06585873663425446
377,1,0.001,0.0731353759765625
378,1,0.001,0.11085541546344757
379,1,0.001,0.11202085018157959
380,1,0.001,0.06527266651391983
381,1,0.001,0.07648339867591858
382,1,0.001,0.17357316613197327
383,1,0.001,0.06142425909638405
384,1,0.001,0.154118150472641
385,1,0.001,0.1042797714471817
386,1,0.001,0.08145993947982788
387,1,0.001,0.10039421916007996
388,1,0.001,0.07174190133810043
389,1,0.001,0.09006479382514954
390,1,0.001,0.11820676922798157
391,1,0.001,0.08555848896503448
392,1,0.001,0.1764242947101593
393,1,0.001,0.17116598784923553
394,1,0.001,0.08693765103816986
395,1,0.001,0.08141041547060013
396,1,0.001,0.05891967564821243
397,1,0.001,0.07087196409702301
398,1,0.001,0.08931758999824524
399,1,0.001,0.07765991985797882
400,1,0.001,0.09715616703033447
401,1,0.001,0.08933119475841522
402,1,0.001,0.08578568696975708
403,1,0.001,0.09010161459445953
404,1,0.001,0.13289354741573334
405,1,0.001,0.0564093254506588
406,1,0.001,0.07744058221578598
407,1,0.001,0.19121670722961426
408,1,0.001,0.06914728879928589
409,1,0.001,0.08736424893140793
410,1,0.001,0.08650583028793335
411,1,0.001,0.063019759953022
412,1,0.001,0.10903818905353546
413,1,0.001,0.06746993958950043
414,1,0.001,0.09619140625
415,1,0.001,0.07427990436553955
416,1,0.001,0.07833343744277954
417,1,0.001,0.08303544670343399
418,1,0.001,0.082213394343853
419,1,0.001,0.06704302132129669
420,1,0.001,0.08431762456893921
421,1,0.001,0.06359276175498962
422,1,0.001,0.0744023472070694
423,1,0.001,0.06013766676187515
424,1,0.001,0.09406036138534546
425,1,0.001,0.07214021682739258
426,1,0.001,0.08254121243953705
427,1,0.001,0.07898698002099991
428,1,0.001,0.06847971677780151
429,1,0.001,0.12670955061912537
430,1,0.001,0.09692297875881195
431,1,0.001,0.08720189332962036
432,1,0.001,0.11570821702480316
433,1,0.001,0.1449306607246399
434,1,0.001,0.07919735461473465
435,1,0.001,0.13344401121139526
436,1,0.001,0.09536077082157135
437,1,0.001,0.0678783506155014
438,1,0.001,0.1073274314403534
439,1,0.001,0.07888533174991608
440,1,0.001,0.11918172985315323
441,1,0.001,0.07475002110004425
442,1,0.001,0.09129666537046432
443,1,0.001,0.08336100727319717
444,1,0.001,0.06928417086601257
445,1,0.001,0.07838486135005951
446,1,0.001,0.07225893437862396
447,1,0.001,0.11536619812250137
448,1,0.001,0.08370957523584366
449,1,0.001,0.1922450065612793
450,1,0.001,0.07064878195524216
451,1,0.001,0.06732180714607239
452,1,0.001,0.062211066484451294
453,1,0.001,0.056555718183517456
454,1,0.001,0.12421122938394547
455,1,0.001,0.06120162457227707
456,1,0.001,0.10519975423812866
457,1,0.001,0.11944922804832458
458,1,0.001,0.07203680276870728
459,1,0.001,0.07608076930046082
460,1,0.001,0.07267563045024872
461,1,0.001,0.09877902269363403
462,1,0.001,0.1424834281206131
463,1,0.001,0.0805877223610878
464,1,0.001,0.06903386861085892
465,1,0.001,0.0950303003191948
466,1,0.001,0.09744736552238464
467,1,0.001,0.11770890653133392
468,1,0.001,0.14999708533287048
469,1,0.001,0.06621497124433517
470,1,0.001,0.14292827248573303
471,1,0.001,0.07452657073736191
472,1,0.001,0.095869280397892
473,1,0.001,0.08642689883708954
474,1,0.001,0.07455824315547943
475,1,0.001,0.0701843649148941
476,1,0.001,0.07742004096508026
477,1,0.001,0.08401668071746826
478,1,0.001,0.06315499544143677
479,1,0.001,0.09218235313892365
480,1,0.001,0.08956603705883026
481,1,0.001,0.054054681211709976
482,1,0.001,0.06070166826248169
483,1,0.001,0.14390380680561066
484,1,0.001,0.04611238092184067
485,1,0.001,0.07100445032119751
486,1,0.001,0.08278755098581314
487,1,0.001,0.0566636398434639
488,1,0.001,0.058425530791282654
489,1,0.001,0.07431159913539886
490,1,0.001,0.05553524196147919
491,1,0.001,0.06750109791755676
492,1,0.001,0.07568331062793732
493,1,0.001,0.0742180347442627
494,1,0.001,0.06602254509925842
495,1,0.001,0.18102416396141052
496,1,0.001,0.12577787041664124
497,1,0.001,0.18963387608528137
498,1,0.001,0.13912427425384521
499,1,0.001,0.06423693150281906
500,1,0.001,0.0652187168598175
501,1,0.001,0.08087456226348877
502,1,0.001,0.13197100162506104
503,1,0.001,0.0798993930220604
504,1,0.001,0.09413488209247589
505,1,0.001,0.12347237765789032
506,1,0.001,0.12259799242019653
507,1,0.001,0.06917151808738708
508,1,0.001,0.06827020645141602
509,1,0.001,0.0628930851817131
510,1,0.001,0.09145306050777435
511,1,0.001,0.06382428109645844
512,1,0.001,0.07400713860988617
513,1,0.001,0.18586143851280212
514,1,0.001,0.28277134895324707
515,1,0.001,0.06910692900419235
516,1,0.001,0.07740193605422974
517,1,0.001,0.05898984149098396
518,1,0.001,0.059263549745082855
519,1,0.001,0.078130342066288
520,1,0.001,0.07175386697053909
521,1,0.001,0.09890773147344589
522,1,0.001,0.14865732192993164
523,1,0.001,0.061144374310970306
524,1,0.001,0.09836095571517944
525,1,0.001,0.06247834116220474
526,1,0.001,0.13906186819076538
527,1,0.001,0.061500176787376404
528,1,0.001,0.09299908578395844
529,1,0.001,0.18018876016139984
530,1,0.001,0.10304225981235504
531,1,0.001,0.12080690264701843
532,1,0.001,0.10189345479011536
533,1,0.001,0.10127958655357361
534,1,0.001,0.06755483150482178
535,1,0.001,0.08188363909721375
536,1,0.001,0.07219012826681137
537,1,0.001,0.07993847131729126
538,1,0.001,0.06629009544849396
539,1,0.001,0.10059548914432526
540,1,0.001,0.08266235142946243
541,1,0.001,0.09207314252853394
542,1,0.001,0.07613860070705414
543,1,0.001,0.12655359506607056
544,1,0.001,0.10941258817911148
545,1,0.001,0.07011719048023224
546,1,0.001,0.07549718767404556
547,1,0.001,0.08917319774627686
548,1,0.001,0.09627360105514526
549,1,0.001,0.06405200064182281
550,1,0.001,0.05285204201936722
551,1,0.001,0.051024168729782104
552,1,0.001,0.061934128403663635
553,1,0.001,0.16534921526908875
554,1,0.001,0.057756952941417694
555,1,0.001,0.07753442227840424
556,1,0.001,0.07751287519931793
557,1,0.001,0.08061950653791428
558,1,0.001,0.07871783524751663
559,1,0.001,0.08858507871627808
560,1,0.001,0.06754396855831146
561,1,0.001,0.054719291627407074
562,1,0.001,0.07543665915727615
563,1,0.001,0.06371048092842102
564,1,0.001,0.06881542503833771
565,1,0.001,0.06092289835214615
566,1,0.001,0.06313484907150269
567,1,0.001,0.1048043742775917
568,1,0.001,0.07030856609344482
569,1,0.001,0.08049927651882172
570,1,0.001,0.0539286732673645
571,1,0.001,0.10762625932693481
572,1,0.001,0.054745517671108246
573,1,0.001,0.05534439533948898
574,1,0.001,0.05601627379655838
575,1,0.001,0.07186032831668854
576,1,0.001,0.1294248104095459
577,1,0.001,0.07626760005950928
578,1,0.001,0.1018606498837471
579,1,0.001,0.10712934285402298
580,1,0.001,0.11248954385519028
581,1,0.001,0.056250423192977905
582,1,0.001,0.09979969263076782
583,1,0.001,0.051163919270038605
584,1,0.001,0.05275169014930725
585,1,0.001,0.0589836947619915
586,1,0.001,0.09651471674442291
587,1,0.001,0.092617467045784
588,1,0.001,0.07055702060461044
589,1,0.001,0.08056467771530151
590,1,0.001,0.062546007335186
591,1,0.001,0.10525156557559967
592,1,0.001,0.06134963408112526
593,1,0.001,0.05458670109510422
594,1,0.001,0.07376468181610107
595,1,0.001,0.06262969225645065
596,1,0.001,0.07207593321800232
597,1,0.001,0.08495604991912842
598,1,0.001,0.10797931253910065
599,1,0.001,0.06010587140917778
600,1,0.001,0.1731531023979187
601,1,0.001,0.06130136922001839
602,1,0.001,0.09736000001430511
603,1,0.001,0.07186123728752136
604,1,0.001,0.09539268165826797
605,1,0.001,0.07707107812166214
606,1,0.001,0.16881147027015686
607,1,0.001,0.06768062710762024
608,1,0.001,0.07158318161964417
609,1,0.001,0.0616949237883091
610,1,0.001,0.10135439783334732
611,1,0.001,0.07203564047813416
612,1,0.001,0.06571781635284424
613,1,0.001,0.08863894641399384
614,1,0.001,0.06507669389247894
615,1,0.001,0.07696198672056198
616,1,0.001,0.06906347721815109
617,1,0.001,0.10254049301147461
618,1,0.001,0.05577339231967926
619,1,0.001,0.14454147219657898
620,1,0.001,0.09486420452594757
621,1,0.001,0.08007268607616425
622,1,0.001,0.07209113240242004
623,1,0.001,0.09139847010374069
624,1,0.001,0.09150618314743042
625,1,0.001,0.08556336164474487
626,1,0.001,0.08239185810089111
627,1,0.001,0.06802032887935638
628,1,0.001,0.07065878808498383
629,1,0.001,0.08839745074510574
630,1,0.001,0.0703589990735054
631,1,0.001,0.08433447778224945
632,1,0.001,0.06382843852043152
633,1,0.001,0.06875447928905487
634,1,0.001,0.07127729803323746
635,1,0.001,0.06359145045280457
636,1,0.001,0.06029900535941124
637,1,0.001,0.05938145890831947
638,1,0.001,0.05879341438412666
639,1,0.001,0.05896385759115219
640,1,0.001,0.0672914981842041
641,1,0.001,0.08302184194326401
642,1,0.001,0.06460554897785187
643,1,0.001,0.10233651846647263
644,1,0.001,0.06262210756540298
645,1,0.001,0.06253703683614731
646,1,0.001,0.1655673384666443
647,1,0.001,0.0727117508649826
648,1,0.001,0.09212206304073334
649,1,0.001,0.07021519541740417
650,1,0.001,0.07269873470067978
651,1,0.001,0.0890907570719719
652,1,0.001,0.06278535723686218
653,1,0.001,0.05614414066076279
654,1,0.001,0.0651540756225586
655,1,0.001,0.08717040717601776
656,1,0.001,0.06933087110519409
657,1,0.001,0.28703391551971436
658,1,0.001,0.056956298649311066
659,1,0.001,0.08666833490133286
660,1,0.001,0.06380511820316315
661,1,0.001,0.0736829936504364
662,1,0.001,0.07338705658912659
663,1,0.001,0.0775846540927887
664,1,0.001,0.06519347429275513
665,1,0.001,0.07872140407562256
666,1,0.001,0.05754554644227028
667,1,0.001,0.11074310541152954
668,1,0.001,0.08060524612665176
669,1,0.001,0.06365912407636642
670,1,0.001,0.07165881991386414
671,1,0.001,0.055434443056583405
672,1,0.001,0.130068838596344
673,1,0.001,0.0799788311123848
674,1,0.001,0.07069005817174911
675,1,0.001,0.07704684138298035
676,1,0.001,0.0556645542383194
677,1,0.001,0.08762221038341522
678,1,0.001,0.04495801031589508
679,1,0.001,0.06608958542346954
680,1,0.001,0.053117573261260986
681,1,0.001,0.08587232232093811
682,1,0.001,0.060922686010599136
683,1,0.001,0.08334793895483017
684,1,0.001,0.06776826083660126
685,1,0.001,0.09352537244558334
686,1,0.001,0.21433597803115845
687,1,0.001,0.07108619064092636
688,1,0.001,0.13887953758239746
689,1,0.001,0.06058284640312195
690,1,0.001,0.10266774147748947
691,1,0.001,0.06283220648765564
692,1,0.001,0.04611038789153099
693,1,0.001,0.08149299025535583
694,1,0.001,0.0762939453125
695,1,0.001,0.12352567911148071
696,1,0.001,0.07930532842874527
697,1,0.001,0.10927791893482208
698,1,0.001,0.06105227768421173
699,1,0.001,0.05045311525464058
700,1,0.001,0.07358972728252411
701,1,0.001,0.07863123714923859
702,1,0.001,0.09435674548149109
703,1,0.001,0.10266489535570145
704,1,0.001,0.07093021273612976
705,1,0.001,0.12032616138458252
706,1,0.001,0.09155834466218948
707,1,0.001,0.11346261203289032
708,1,0.001,0.06399787217378616
709,1,0.001,0.07852460443973541
710,1,0.001,0.09440905600786209
711,1,0.001,0.054125092923641205
712,1,0.001,0.06813749670982361
713,1,0.001,0.05246879905462265
714,1,0.001,0.06771709024906158
715,1,0.001,0.05509588122367859
716,1,0.001,0.05887014791369438
717,1,0.001,0.15065576136112213
718,1,0.001,0.04905252903699875
719,1,0.001,0.05706726387143135
720,1,0.001,0.061195094138383865
721,1,0.001,0.06527329981327057
722,1,0.001,0.16044746339321136
723,1,0.001,0.05160222947597504
724,1,0.001,0.2247762829065323
725,1,0.001,0.07750988006591797
726,1,0.001,0.07003122568130493
727,1,0.001,0.12546199560165405
728,1,0.001,0.07481466978788376
729,1,0.001,0.08141117542982101
730,1,0.001,0.10415707528591156
731,1,0.001,0.15085884928703308
732,1,0.001,0.23889438807964325
733,1,0.001,0.08674652874469757
734,1,0.001,0.08854097127914429
735,1,0.001,0.09607209265232086
736,1,0.001,0.07554920017719269
737,1,0.001,0.06797920167446136
738,1,0.001,0.14165297150611877
739,1,0.001,0.08415071666240692
740,1,0.001,0.07915333658456802
741,1,0.001,0.08214447647333145
742,1,0.001,0.07751074433326721
743,1,0.001,0.15542584657669067
744,1,0.001,0.13946686685085297
745,1,0.001,0.1140591949224472
746,1,0.001,0.07378809154033661
747,1,0.001,0.06335905939340591
748,1,0.001,0.07224798202514648
749,1,0.001,0.07127353549003601
750,1,0.001,0.09568668901920319
751,1,0.001,0.06402192264795303
752,1,0.001,0.09992792457342148
753,1,0.001,0.09019656479358673
754,1,0.001,0.07762341946363449
755,1,0.001,0.09432318806648254
756,1,0.001,0.06730891019105911
757,1,0.001,0.14683285355567932
758,1,0.001,0.05454998463392258
759,1,0.001,0.05985816940665245
760,1,0.001,0.06301558017730713
761,1,0.001,0.07832944393157959
762,1,0.001,0.06551368534564972
763,1,0.001,0.05693325400352478
764,1,0.001,0.15651005506515503
765,1,0.001,0.12327246367931366
766,1,0.001,0.07265817373991013
767,1,0.001,0.05408613756299019
768,1,0.001,0.14590226113796234
769,1,0.001,0.09844772517681122
770,1,0.001,0.08207684755325317
771,1,0.001,0.05552900582551956
772,1,0.001,0.050886817276477814
773,1,0.001,0.12022579461336136
774,1,0.001,0.05998717248439789
775,1,0.001,0.074872225522995
776,1,0.001,0.10131308436393738
777,1,0.001,0.07796727120876312
778,1,0.001,0.07586941123008728
779,1,0.001,0.06766754388809204
780,1,0.001,0.09743081778287888
781,1,0.001,0.06105859577655792
782,1,0.001,0.06145934388041496
783,1,0.001,0.06953588128089905
784,1,0.001,0.07173427194356918
785,1,0.001,0.05822553485631943
786,1,0.001,0.12386100739240646
787,1,0.001,0.10549695789813995
788,1,0.001,0.10250873863697052
789,1,0.001,0.1553644835948944
790,1,0.001,0.05834921449422836
791,1,0.001,0.05421321466565132
792,1,0.001,0.056532278656959534
793,1,0.001,0.15321987867355347
794,1,0.001,0.07416383177042007
795,1,0.001,0.10971400886774063
796,1,0.001,0.12479957193136215
797,1,0.001,0.06290477514266968
798,1,0.001,0.062000565230846405
799,1,0.001,0.054367538541555405
800,1,0.001,0.06187739968299866
801,1,0.001,0.05609589442610741
802,1,0.001,0.06397164613008499
803,1,0.001,0.06793922185897827
804,1,0.001,0.06368781626224518
805,1,0.001,0.08386692404747009
806,1,0.001,0.06631584465503693
807,1,0.001,0.11074922978878021
808,1,0.001,0.0787249505519867
809,1,0.001,0.052304644137620926
810,1,0.001,0.08391553163528442
811,1,0.001,0.053714580833911896
812,1,0.001,0.07978492975234985
813,1,0.001,0.04582161828875542
