epoch,time_s,train_loss,val_loss,val_dice,val_iou,lr
1,150.86,0.08936246219091118,0.06160103864420183,0.9521587783290494,0.9110205494267967,0.001
2,323.33,0.06558887571761651,0.07531147804572062,0.9397699203542483,0.887435922827772,0.001
3,474.46,0.05486675460024604,0.05425965190120776,0.9547846371127713,0.9144170739317453,0.001
4,654.7,0.048528798990882936,0.04984603586745929,0.9588578936553771,0.9229092747293492,0.001
5,799.75,0.04354808805576925,0.045525902474827344,0.9624044792626494,0.9281896543759172,0.001
6,951.46,0.04112213835186724,0.037768264557911144,0.9697996902209456,0.9418628534963054,0.001
7,1099.42,0.03994150734839163,0.03749221218259008,0.9692905300407,0.9409100291549518,0.001
8,1251.47,0.03913026005628386,0.03641720251378918,0.969837357920985,0.9420723913818277,0.001
9,1404.16,0.03800617701573564,0.033905934324029226,0.972346350326333,0.9466531870185688,0.001
10,1550.95,0.03800342142914555,0.035547546581550495,0.9708021576686572,0.9438223155595923,0.001
11,1717.24,0.036630605643482084,0.03402781707036662,0.9721214062424116,0.9462122246783267,0.001
12,1925.44,0.035873443286067674,0.0333213752416801,0.9726793962140237,0.9472453355789184,0.001
13,2071.94,0.035148284946834404,0.032017129202573345,0.9732925125347671,0.9486522866833594,0.001
14,2224.26,0.035153011408235346,0.032979789853507406,0.9727067869196656,0.9473717545950284,0.001
15,2433.65,0.03445746525523386,0.03314942784885238,0.9729024170547403,0.9477493906533846,0.001
16,2653.41,0.03390981352688478,0.03775964429025669,0.9692256758289952,0.9406910921937676,0.001
17,2862.01,0.03390528591615813,0.03195044173441317,0.9737059880328435,0.9492101364238288,0.001
18,3071.03,0.03284812696012003,0.029861560993647226,0.9757363453988106,0.9529797346361222,0.001
19,3291.07,0.03267666721583477,0.02879540679669799,0.9765519410051325,0.9545306891523382,0.001
20,3499.44,0.03196511778448309,0.02998983854806607,0.9754866484672793,0.9525149804289623,0.001
21,3716.36,0.032192703654457415,0.030193632791822595,0.9753437231945735,0.9522973237499114,0.001
22,3923.32,0.03135112910398415,0.031692923921871334,0.9736350547882818,0.949091036217187,0.001
23,4131.5,0.03142711217581694,0.02949158881726488,0.9763698632999133,0.9541517198726696,0.001
24,4339.42,0.030813812130529965,0.028016897331817725,0.9772507332986401,0.9558264822088262,0.001
25,4547.18,0.031081169386660414,0.0271563521025695,0.9778903627908359,0.9570582593640974,0.001
26,4764.2,0.03066053390769022,0.030261478309014357,0.9752660523178757,0.9520702160814757,0.001
27,4972.76,0.029557906621401862,0.030500395542732615,0.9751180635985508,0.9517706681323308,0.001
28,5140.49,0.029935549053895685,0.03822467529090364,0.9682421606074098,0.9389317583012324,0.001
29,5285.87,0.029584508864209057,0.02887892707656066,0.9763235239572422,0.9540907206073884,0.001
30,5431.39,0.029424140814558734,0.02489588145192014,0.9800468787070243,0.9611348526452177,0.001
31,5587.73,0.028852839015557297,0.02493997080423213,0.9799866918594606,0.9610149325863008,0.001
32,5738.46,0.028655941620069954,0.025620761811973675,0.979116686313383,0.9593857398597143,0.001
33,5889.61,0.028621322811315103,0.024695948846891986,0.9799242522126885,0.9609380595145687,0.001
34,6040.8,0.02870903924839305,0.03355891638735624,0.9724498834661258,0.9467244730200819,0.001
35,6192.54,0.02840957370121032,0.03652230122648567,0.969959197762192,0.9421176391263162,0.001
36,6351.53,0.028633504315013332,0.024243387251066537,0.9805274532687279,0.9620659520549159,0.001
37,6503.02,0.027788459544868343,0.025431768866519683,0.9795908033206898,0.9602738700887208,0.001
38,6654.01,0.027918782796311593,0.03125682368863864,0.9743354341035249,0.9503024290966732,0.001
39,6805.65,0.02795260031707585,0.0247114975821506,0.9802112660100383,0.9614272373978809,0.001
40,6957.03,0.028054921007049934,0.023317244631836345,0.9813097429531876,0.9635397443207362,0.001
41,7116.55,0.027510456425536955,0.028416988036140144,0.9769385704430201,0.9552168834593988,0.001
42,7267.8,0.027188946708504642,0.02392082663727794,0.9811214700821907,0.963171955590607,0.001
43,7419.02,0.02813842240055757,0.024717847460345926,0.9801850129199284,0.9614110365990669,0.001
44,7570.67,0.026993246913355376,0.024544601093920253,0.9805109411157588,0.9619679474061535,0.001
45,7722.17,0.027248620464732604,0.02268488220763638,0.9818676893429089,0.964599072933197,0.001
46,7881.79,0.026984999761251467,0.023296410452298,0.9815236747905772,0.9639339757222001,0.001
47,8033.62,0.026990333100381705,0.024396097618791312,0.9806887642029793,0.962404155346655,0.001
48,8184.88,0.026809722382375705,0.03565734522881346,0.9704648065310653,0.9430835496994757,0.001
49,8336.35,0.027007409563687232,0.025077277695637914,0.9799276182728429,0.9608838729960945,0.001
50,8487.56,0.026611457548237273,0.022578800563270066,0.9820233291195285,0.9649113765326879,0.001
51,8647.73,0.026824807835343693,0.03201553677454158,0.9739040495246969,0.9494399268140075,0.001
52,8799.1,0.026239029775107545,0.0231500649621043,0.9814234492599323,0.9637609089574506,0.001
53,8950.53,0.026305838293129845,0.02302197079575267,0.9816311378632823,0.9641501061377987,0.001
54,9101.81,0.026045907624731107,0.021853521424514306,0.9823086091267166,0.9654668356782646,0.001
55,9253.45,0.026136199535269824,0.02523984223358432,0.9795648615847352,0.9602338797302656,0.001
56,9413.21,0.025845081359813254,0.022725368540382762,0.9817075274323904,0.9644974547047769,0.001
57,9564.22,0.02593090047727206,0.0239654557259173,0.9808091768654444,0.9625763295799173,0.001
58,9716.22,0.025741681535728277,0.02130664364117882,0.9830198925028565,0.9667997631975399,0.001
59,9868.35,0.025577105474325696,0.024973171091594762,0.9804813823392314,0.9618853251139323,0.001
60,10020.13,0.025270051427983813,0.021939119217231438,0.9827345682728675,0.9662359355598368,0.001
61,10179.76,0.025312141134802783,0.02353293679229843,0.98100493954074,0.9629436671092946,0.001
62,10331.99,0.025226307887850064,0.020128111305919415,0.9840503129907834,0.9687755064297748,0.001
63,10484.45,0.02502746863689806,0.021952200297956807,0.9820645369509216,0.9649830531048519,0.001
64,10636.05,0.02535709318172719,0.02045010664597469,0.9834180697318047,0.9675604465187236,0.001
65,10788.52,0.024828498635241496,0.019525300770164518,0.9842758610684385,0.9692262568781452,0.001
66,10949.11,0.02489495468325913,0.01953401127426096,0.9842559983653407,0.9691696672029393,0.001
67,11101.08,0.024621624412081603,0.01982854466047839,0.9838317076365153,0.968357329599319,0.001
68,11252.38,0.024550113554578274,0.02699008275273561,0.9778679041452305,0.9569631104828209,0.001
69,11403.81,0.02435917980636337,0.019890326366440267,0.9840170379607908,0.968715331374958,0.001
70,11555.99,0.024386588774421916,0.020000125813792475,0.9837645980619615,0.9682121138418874,0.001
71,11715.74,0.02423730278021789,0.01876824413779849,0.9847005899234484,0.9700264086005508,0.001
72,11867.26,0.024132105668541043,0.02163736433039198,0.9825610985038101,0.9658888533551205,0.001
73,12018.71,0.023977018006345524,0.019935264030398647,0.9836706326853845,0.968057083955375,0.001
74,12170.82,0.024011218597048096,0.02248278003040395,0.9824368138467112,0.9656237284342448,0.001
75,12317.11,0.02399029315682128,0.01885796829760235,0.984932610424616,0.9704682511668051,0.001
76,12472.39,0.024007232534100434,0.018094108833348017,0.985280321105834,0.9711494145854827,0.001
77,12618.91,0.02338252434041351,0.0217906857789626,0.9826962173625987,0.9661753873671255,0.001
78,12832.28,0.024021461726765014,0.019398236376433422,0.9843049887687929,0.9692539367624509,0.001
79,13043.26,0.023572611515410246,0.020941751447094516,0.9829213292367996,0.9666363275179299,0.001
80,13252.52,0.023355004462812627,0.01798270439662977,0.9854592542494497,0.9714747730121818,0.001
81,13471.55,0.02328034092705431,0.018410424962666525,0.9852877532282184,0.9711522976557414,0.001
82,13680.57,0.023059523688363177,0.018156139389770395,0.985455685533503,0.9714670219729024,0.001
83,13889.25,0.02346494563489354,0.018850633541276352,0.9851283459253208,0.9708440239711474,0.001
84,14102.35,0.023087520335601377,0.017719437395262223,0.9855485618755382,0.9716701384513609,0.001
85,14312.19,0.022884866201119233,0.01768694915392998,0.9856285113160328,0.971805545591539,0.001
86,14531.63,0.02321909112356869,0.025334483570215224,0.979002921811996,0.959197554152499,0.001
87,14741.09,0.022730829274348382,0.016881376494212404,0.9863249491619808,0.9731613364270938,0.001
88,14950.29,0.022664714079416757,0.01743634743532503,0.9859567857557727,0.9724447132438742,0.001
89,15159.92,0.022852080827911517,0.021947929262981357,0.9824269080674777,0.9656395858333957,0.001
90,15369.36,0.022749760578985194,0.020618184648959086,0.9836214903862246,0.9679418900961517,0.001
91,15586.85,0.022608625176362692,0.01728884570932369,0.9860404881097937,0.9726100771657882,0.001
92,15796.72,0.022565135388369007,0.01702343246222675,0.9863164873533351,0.9731476341524432,0.001
93,16005.01,0.022658167529651628,0.017223319872898542,0.986145144508731,0.9728159858334449,0.001
94,16213.75,0.02236971699566181,0.016659509377903347,0.9866194644281941,0.973717523518429,0.001
95,16422.68,0.022244983022766455,0.0160171961296295,0.9870097588467341,0.9744800820145556,0.001
96,16640.97,0.022187380571517028,0.017219268398973177,0.9861484981352283,0.9728230246933558,0.001
97,16849.92,0.02222461997631139,0.017763546779524707,0.9859790520001483,0.9724609127608679,0.001
98,17059.17,0.02215528156342251,0.016167766766207924,0.9869989641251102,0.9744467285371596,0.001
99,17269.05,0.022063570068816523,0.016004866577468496,0.9872284509802377,0.9749015456886702,0.001
100,17478.62,0.02204534906661138,0.01510149690894595,0.9877071834379627,0.9758350362059891,0.001
101,17696.6,0.021783283911645412,0.01578414360980923,0.9872569927605249,0.9749513981162861,0.001
102,17906.85,0.021976480327679643,0.015975363320491036,0.9871158144807303,0.9746792795837567,0.001
103,18117.11,0.021916292695927302,0.01602791432677289,0.9870028153542549,0.9744671903630738,0.001
104,18327.47,0.02209256765199825,0.015806138660062828,0.9872368603624323,0.9749150372320606,0.001
105,18538.08,0.021785936704171557,0.01626817400304433,0.9868357204621838,0.9741454724342592,0.001
106,18754.91,0.021735562252412948,0.017158837426973418,0.9863274105133549,0.9731608871490725,0.001
107,18963.55,0.021449173782353424,0.015056508986293394,0.9878827201422825,0.976166772073315,0.001
108,19173.77,0.021811965806409716,0.014997206422957458,0.9879751300299039,0.9763471521357054,0.001
109,19383.36,0.021517030365565525,0.015472920658584455,0.9877230217379909,0.9758531806289509,0.001
110,19592.36,0.021423503964407637,0.018805770306654646,0.9848140043597068,0.9702293725423915,0.001
111,19751.72,0.021366289794844177,0.015219264249018483,0.9878297887822634,0.9760603074104556,0.001
112,19900.41,0.021558000569431378,0.014762019826377771,0.9881580104110061,0.9766987940316559,0.001
113,20050.82,0.02118793526764161,0.014985120947101757,0.988138747215271,0.9766614157666442,0.001
114,20210.86,0.021326668387877622,0.014694832098413513,0.988147045079098,0.9766865402139643,0.001
115,20370.05,0.021153761704585383,0.01960745896788781,0.98470723641816,0.9700185001537364,0.001
116,20526.92,0.021389638578984887,0.015533357001133143,0.9876042071209159,0.9756181274690936,0.001
117,20677.09,0.021185154878600898,0.015984353550278017,0.9870516471965338,0.9745661308688502,0.001
118,20836.24,0.0213692255584257,0.014356180161635758,0.9884707987949413,0.9773071517226517,0.001
119,20995.74,0.020957977638380337,0.016643967854133555,0.9868934874893517,0.974229053143532,0.001
120,21155.64,0.020962092451352093,0.015185498093532358,0.9878700434520681,0.9761374474853598,0.001
