global_step,epoch,lr,train_loss_step
0,1,0.001,0.6642439365386963
1,1,0.001,0.5545618534088135
2,1,0.001,0.4624894857406616
3,1,0.001,0.41909879446029663
4,1,0.001,0.3496488928794861
5,1,0.001,0.36935293674468994
6,1,0.001,0.27904340624809265
7,1,0.001,0.3092711567878723
8,1,0.001,0.2853793501853943
9,1,0.001,0.2616884708404541
10,1,0.001,0.2701379954814911
11,1,0.001,0.22516751289367676
12,1,0.001,0.20305752754211426
13,1,0.001,0.2532653212547302
14,1,0.001,0.20144355297088623
15,1,0.001,0.201594740152359
16,1,0.001,0.2278800904750824
17,1,0.001,0.19944311678409576
18,1,0.001,0.23021584749221802
19,1,0.001,0.19568288326263428
20,1,0.001,0.20237593352794647
21,1,0.001,0.1947290301322937
22,1,0.001,0.19444695115089417
23,1,0.001,0.2074895203113556
24,1,0.001,0.1539210081100464
25,1,0.001,0.18626609444618225
26,1,0.001,0.14753684401512146
27,1,0.001,0.1334836781024933
28,1,0.001,0.1617085337638855
29,1,0.001,0.1513400673866272
30,1,0.001,0.15051338076591492
31,1,0.001,0.18128183484077454
32,1,0.001,0.12452319264411926
33,1,0.001,0.1305413693189621
34,1,0.001,0.12407402694225311
35,1,0.001,0.12911055982112885
36,1,0.001,0.14268213510513306
37,1,0.001,0.11601264029741287
38,1,0.001,0.18448148667812347
39,1,0.001,0.10925938934087753
40,1,0.001,0.14189420640468597
41,1,0.001,0.22162549197673798
42,1,0.001,0.10579364746809006
43,1,0.001,0.12530115246772766
44,1,0.001,0.11052342504262924
45,1,0.001,0.09033463895320892
46,1,0.001,0.08668981492519379
47,1,0.001,0.1622370481491089
48,1,0.001,0.1370088756084442
49,1,0.001,0.11375081539154053
50,1,0.001,0.09329257905483246
51,1,0.001,0.1206357479095459
52,1,0.001,0.159481018781662
53,1,0.001,0.09377660602331161
54,1,0.001,0.09299985319375992
55,1,0.001,0.10108562558889389
56,1,0.001,0.10957770049571991
57,1,0.001,0.09243641048669815
58,1,0.001,0.1745029091835022
59,1,0.001,0.09493067860603333
60,1,0.001,0.1451149880886078
61,1,0.001,0.13399197161197662
62,1,0.001,0.12558883428573608
63,1,0.001,0.12260287255048752
64,1,0.001,0.11655139923095703
65,1,0.001,0.11174224317073822
66,1,0.001,0.11418856680393219
67,1,0.001,0.10175387561321259
68,1,0.001,0.13965675234794617
69,1,0.001,0.07320061326026917
70,1,0.001,0.10060997307300568
71,1,0.001,0.15890902280807495
72,1,0.001,0.14808377623558044
73,1,0.001,0.118769571185112
74,1,0.001,0.15003091096878052
75,1,0.001,0.10800037533044815
76,1,0.001,0.093732550740242
77,1,0.001,0.08929051458835602
78,1,0.001,0.11579848825931549
79,1,0.001,0.11228007078170776
80,1,0.001,0.11572261154651642
81,1,0.001,0.1150658056139946
82,1,0.001,0.10650329291820526
83,1,0.001,0.09526079893112183
84,1,0.001,0.07486313581466675
85,1,0.001,0.07527945935726166
86,1,0.001,0.0895238071680069
87,1,0.001,0.14553424715995789
88,1,0.001,0.13778148591518402
89,1,0.001,0.08102305233478546
90,1,0.001,0.08644480258226395
91,1,0.001,0.07684040069580078
92,1,0.001,0.10186589509248734
93,1,0.001,0.08284202218055725
94,1,0.001,0.09694485366344452
95,1,0.001,0.08698921650648117
96,1,0.001,0.07108685374259949
97,1,0.001,0.09092536568641663
98,1,0.001,0.2524626851081848
99,1,0.001,0.07255223393440247
100,1,0.001,0.09655751287937164
101,1,0.001,0.13239942491054535
102,1,0.001,0.1006847470998764
103,1,0.001,0.08560307323932648
104,1,0.001,0.10158048570156097
105,1,0.001,0.09512628614902496
106,1,0.001,0.0833701342344284
107,1,0.001,0.13062840700149536
108,1,0.001,0.10505834221839905
109,1,0.001,0.11559243500232697
110,1,0.001,0.18242652714252472
111,1,0.001,0.1543945074081421
112,1,0.001,0.07393726706504822
113,1,0.001,0.08127672970294952
114,1,0.001,0.09011755883693695
115,1,0.001,0.07783690094947815
116,1,0.001,0.11033017933368683
117,1,0.001,0.08681710064411163
118,1,0.001,0.09639012813568115
119,1,0.001,0.09423524141311646
120,1,0.001,0.08280141651630402
121,1,0.001,0.11783255636692047
122,1,0.001,0.12407837063074112
123,1,0.001,0.08271823823451996
124,1,0.001,0.12462445348501205
125,1,0.001,0.0668695718050003
126,1,0.001,0.06568299233913422
127,1,0.001,0.07573390007019043
128,1,0.001,0.08799732476472855
129,1,0.001,0.08966536819934845
130,1,0.001,0.08136129379272461
131,1,0.001,0.07654812932014465
132,1,0.001,0.07534646987915039
133,1,0.001,0.06431615352630615
134,1,0.001,0.07740581035614014
135,1,0.001,0.1435137391090393
136,1,0.001,0.07123149186372757
137,1,0.001,0.11356407403945923
138,1,0.001,0.14366242289543152
139,1,0.001,0.10404908657073975
140,1,0.001,0.17006808519363403
141,1,0.001,0.09010574221611023
142,1,0.001,0.08321700990200043
143,1,0.001,0.07086823880672455
144,1,0.001,0.08381226658821106
145,1,0.001,0.07845134288072586
146,1,0.001,0.11230915784835815
147,1,0.001,0.06896539032459259
148,1,0.001,0.08261053264141083
149,1,0.001,0.09006968140602112
150,1,0.001,0.07796274125576019
151,1,0.001,0.1270073652267456
152,1,0.001,0.08439680933952332
153,1,0.001,0.08222579956054688
154,1,0.001,0.08439584076404572
155,1,0.001,0.081151083111763
156,1,0.001,0.12485838681459427
157,1,0.001,0.05869423598051071
158,1,0.001,0.06421917676925659
159,1,0.001,0.058845438063144684
160,1,0.001,0.09901713579893112
161,1,0.001,0.07074467837810516
162,1,0.001,0.0980687215924263
163,1,0.001,0.07909910380840302
164,1,0.001,0.12510862946510315
165,1,0.001,0.09527753293514252
166,1,0.001,0.06857378780841827
167,1,0.001,0.08103007078170776
168,1,0.001,0.09980464726686478
169,1,0.001,0.07088156044483185
170,1,0.001,0.07609063386917114
171,1,0.001,0.10393324494361877
172,1,0.001,0.06982647627592087
173,1,0.001,0.07686078548431396
174,1,0.001,0.06912108510732651
175,1,0.001,0.06089190021157265
176,1,0.001,0.15244242548942566
177,1,0.001,0.08437402546405792
178,1,0.001,0.07631485164165497
179,1,0.001,0.06729201972484589
180,1,0.001,0.08380599319934845
181,1,0.001,0.08963286876678467
182,1,0.001,0.0882188081741333
183,1,0.001,0.09215731918811798
184,1,0.001,0.10116219520568848
185,1,0.001,0.08894716203212738
186,1,0.001,0.13925029337406158
187,1,0.001,0.09649290144443512
188,1,0.001,0.1390085220336914
189,1,0.001,0.08573585003614426
190,1,0.001,0.08552050590515137
191,1,0.001,0.06281042098999023
192,1,0.001,0.10171188414096832
193,1,0.001,0.08595184981822968
194,1,0.001,0.0676298439502716
195,1,0.001,0.07459550350904465
196,1,0.001,0.07690638303756714
197,1,0.001,0.09109704941511154
198,1,0.001,0.07020054757595062
199,1,0.001,0.07333476841449738
200,1,0.001,0.10789644718170166
201,1,0.001,0.08182323724031448
202,1,0.001,0.0658198818564415
203,1,0.001,0.07337380200624466
204,1,0.001,0.07973802089691162
205,1,0.001,0.08185805380344391
206,1,0.001,0.09879280626773834
207,1,0.001,0.1210503801703453
208,1,0.001,0.06483697891235352
209,1,0.001,0.10961396247148514
210,1,0.001,0.07938489317893982
211,1,0.001,0.12579864263534546
212,1,0.001,0.11309277266263962
213,1,0.001,0.17567262053489685
214,1,0.001,0.09157019108533859
215,1,0.001,0.16196966171264648
216,1,0.001,0.09857265651226044
217,1,0.001,0.09595786780118942
218,1,0.001,0.07604122906923294
219,1,0.001,0.1128169447183609
220,1,0.001,0.08551035821437836
221,1,0.001,0.07527896761894226
222,1,0.001,0.07591357827186584
223,1,0.001,0.17877592146396637
224,1,0.001,0.08339355140924454
225,1,0.001,0.09272515773773193
226,1,0.001,0.11751245707273483
227,1,0.001,0.06431522965431213
228,1,0.001,0.08454534411430359
229,1,0.001,0.08511805534362793
230,1,0.001,0.07409748435020447
231,1,0.001,0.07129468023777008
232,1,0.001,0.07995569705963135
233,1,0.001,0.09618924558162689
234,1,0.001,0.08407807350158691
235,1,0.001,0.08620893955230713
236,1,0.001,0.09040583670139313
237,1,0.001,0.09463036060333252
238,1,0.001,0.07648071646690369
239,1,0.001,0.07059618085622787
240,1,0.001,0.0757448822259903
241,1,0.001,0.09492737799882889
242,1,0.001,0.0591377317905426
243,1,0.001,0.07936571538448334
244,1,0.001,0.0849870890378952
245,1,0.001,0.09699651598930359
246,1,0.001,0.07035145163536072
247,1,0.001,0.06021685153245926
248,1,0.001,0.08417833596467972
249,1,0.001,0.10049441456794739
250,1,0.001,0.0955260843038559
251,1,0.001,0.06518444418907166
252,1,0.001,0.12923219799995422
253,1,0.001,0.13803893327713013
254,1,0.001,0.07703490555286407
255,1,0.001,0.09315602481365204
256,1,0.001,0.11030729115009308
257,1,0.001,0.07066068053245544
258,1,0.001,0.09744276851415634
259,1,0.001,0.09408051520586014
260,1,0.001,0.10052576661109924
261,1,0.001,0.16838236153125763
262,1,0.001,0.08072979748249054
263,1,0.001,0.07356475293636322
264,1,0.001,0.07969602942466736
265,1,0.001,0.07379742711782455
266,1,0.001,0.06587415933609009
267,1,0.001,0.1176077201962471
268,1,0.001,0.07591930031776428
269,1,0.001,0.0943225622177124
270,1,0.001,0.08903926610946655
271,1,0.001,0.1304950714111328
272,1,0.001,0.09857803583145142
273,1,0.001,0.07028025388717651
274,1,0.001,0.07084459811449051
275,1,0.001,0.07836119830608368
276,1,0.001,0.08191549777984619
277,1,0.001,0.08170599490404129
278,1,0.001,0.08939756453037262
279,1,0.001,0.07404038310050964
280,1,0.001,0.0766531378030777
281,1,0.001,0.060839783400297165
282,1,0.001,0.06644091755151749
283,1,0.001,0.07551105320453644
284,1,0.001,0.08945075422525406
285,1,0.001,0.09390544891357422
286,1,0.001,0.09396271407604218
287,1,0.001,0.07605310529470444
288,1,0.001,0.11649812012910843
289,1,0.001,0.06263832747936249
290,1,0.001,0.15882790088653564
291,1,0.001,0.06673929840326309
292,1,0.001,0.08227860182523727
293,1,0.001,0.0714724212884903
294,1,0.001,0.10027729719877243
295,1,0.001,0.09347841888666153
296,1,0.001,0.06127215921878815
297,1,0.001,0.06600816547870636
298,1,0.001,0.08989427983760834
299,1,0.001,0.20707328617572784
300,1,0.001,0.06187242269515991
301,1,0.001,0.11296812444925308
302,1,0.001,0.061853282153606415
303,1,0.001,0.07223233580589294
304,1,0.001,0.10584806650876999
305,1,0.001,0.07091683149337769
306,1,0.001,0.10278362780809402
307,1,0.001,0.13331595063209534
308,1,0.001,0.0698467269539833
309,1,0.001,0.08039053529500961
310,1,0.001,0.1289261281490326
311,1,0.001,0.19418922066688538
312,1,0.001,0.08335928618907928
313,1,0.001,0.07632690668106079
314,1,0.001,0.07735218107700348
315,1,0.001,0.0783596932888031
316,1,0.001,0.06907612830400467
317,1,0.001,0.07107287645339966
318,1,0.001,0.11440306156873703
319,1,0.001,0.07276006042957306
320,1,0.001,0.11213294416666031
321,1,0.001,0.07093170285224915
322,1,0.001,0.06169798970222473
323,1,0.001,0.09316868335008621
324,1,0.001,0.07835289090871811
325,1,0.001,0.06445647776126862
326,1,0.001,0.05464429408311844
327,1,0.001,0.06127399951219559
328,1,0.001,0.07877261936664581
329,1,0.001,0.06674571335315704
330,1,0.001,0.19986017048358917
331,1,0.001,0.2437848448753357
332,1,0.001,0.18128100037574768
333,1,0.001,0.08231858909130096
334,1,0.001,0.07310783863067627
335,1,0.001,0.06931747496128082
336,1,0.001,0.06857183575630188
337,1,0.001,0.07578825950622559
338,1,0.001,0.07004420459270477
339,1,0.001,0.063785120844841
340,1,0.001,0.08722006529569626
341,1,0.001,0.10653354227542877
342,1,0.001,0.163174569606781
343,1,0.001,0.07067689299583435
344,1,0.001,0.07327698171138763
345,1,0.001,0.06980367004871368
346,1,0.001,0.09950681030750275
347,1,0.001,0.07931220531463623
348,1,0.001,0.07509574294090271
349,1,0.001,0.08593824505805969
350,1,0.001,0.06742134690284729
351,1,0.001,0.06793537735939026
352,1,0.001,0.08652010560035706
353,1,0.001,0.06852953135967255
354,1,0.001,0.1210799366235733
355,1,0.001,0.08044001460075378
356,1,0.001,0.08032123744487762
357,1,0.001,0.06268713623285294
358,1,0.001,0.0683174878358841
359,1,0.001,0.08398556709289551
360,1,0.001,0.07298102974891663
361,1,0.001,0.07946421205997467
362,1,0.001,0.1351744830608368
363,1,0.001,0.06725510954856873
364,1,0.001,0.07346053421497345
365,1,0.001,0.07731884717941284
366,1,0.001,0.07558392733335495
367,1,0.001,0.05345896631479263
368,1,0.001,0.059271227568387985
369,1,0.001,0.07268337160348892
370,1,0.001,0.07056035101413727
371,1,0.001,0.06867219507694244
372,1,0.001,0.05856649577617645
373,1,0.001,0.052163347601890564
374,1,0.001,0.07437780499458313
375,1,0.001,0.07564491033554077
376,1,0.001,0.06267417967319489
377,1,0.001,0.05697154253721237
378,1,0.001,0.08532498776912689
379,1,0.001,0.05898381769657135
380,1,0.001,0.07802706956863403
381,1,0.001,0.0553123876452446
382,1,0.001,0.06413993239402771
383,1,0.001,0.05817320942878723
384,1,0.001,0.06139199435710907
385,1,0.001,0.09113699197769165
386,1,0.001,0.07284635305404663
387,1,0.001,0.07246996462345123
388,1,0.001,0.0609540119767189
389,1,0.001,0.04687713831663132
390,1,0.001,0.056418150663375854
391,1,0.001,0.11887932568788528
392,1,0.001,0.07763175666332245
393,1,0.001,0.07787784934043884
394,1,0.001,0.11050958931446075
395,1,0.001,0.059420570731163025
396,1,0.001,0.06376069784164429
