global_step,epoch,lr,train_loss_step
0,1,0.001,0.6692309975624084
1,1,0.001,0.5345785021781921
2,1,0.001,0.48917603492736816
3,1,0.001,0.4262932538986206
4,1,0.001,0.37418898940086365
5,1,0.001,0.3873010575771332
6,1,0.001,0.32307499647140503
7,1,0.001,0.31150007247924805
8,1,0.001,0.31590986251831055
9,1,0.001,0.276706337928772
10,1,0.001,0.26055264472961426
11,1,0.001,0.3116273880004883
12,1,0.001,0.31139683723449707
13,1,0.001,0.22297757863998413
14,1,0.001,0.26976123452186584
15,1,0.001,0.21587984263896942
16,1,0.001,0.1980265974998474
17,1,0.001,0.18537919223308563
18,1,0.001,0.17271743714809418
19,1,0.001,0.16067227721214294
20,1,0.001,0.2522313594818115
21,1,0.001,0.16760313510894775
22,1,0.001,0.16374990344047546
23,1,0.001,0.18894287943840027
24,1,0.001,0.17533090710639954
25,1,0.001,0.18414807319641113
26,1,0.001,0.16517367959022522
27,1,0.001,0.17460983991622925
28,1,0.001,0.14996135234832764
29,1,0.001,0.15259896218776703
30,1,0.001,0.1787301003932953
31,1,0.001,0.19981467723846436
32,1,0.001,0.1535140573978424
33,1,0.001,0.14709779620170593
34,1,0.001,0.21127592027187347
35,1,0.001,0.14488910138607025
36,1,0.001,0.13168255984783173
37,1,0.001,0.12685483694076538
38,1,0.001,0.22088274359703064
39,1,0.001,0.1441516876220703
40,1,0.001,0.10418859124183655
41,1,0.001,0.10899226367473602
42,1,0.001,0.25404590368270874
43,1,0.001,0.12119258940219879
44,1,0.001,0.15074393153190613
45,1,0.001,0.1378994584083557
46,1,0.001,0.13471630215644836
47,1,0.001,0.14825798571109772
48,1,0.001,0.12619183957576752
49,1,0.001,0.12639135122299194
50,1,0.001,0.12742717564105988
51,1,0.001,0.1256697177886963
52,1,0.001,0.10968378186225891
53,1,0.001,0.16033920645713806
54,1,0.001,0.12925368547439575
55,1,0.001,0.11756376922130585
56,1,0.001,0.11331307888031006
57,1,0.001,0.20858316123485565
58,1,0.001,0.13332092761993408
59,1,0.001,0.11485657095909119
60,1,0.001,0.15068738162517548
61,1,0.001,0.1634838879108429
62,1,0.001,0.16019409894943237
63,1,0.001,0.09345002472400665
64,1,0.001,0.08867782354354858
65,1,0.001,0.10435977578163147
66,1,0.001,0.10824868083000183
67,1,0.001,0.10031040757894516
68,1,0.001,0.09209392964839935
69,1,0.001,0.09573512524366379
70,1,0.001,0.11823001503944397
71,1,0.001,0.17912539839744568
72,1,0.001,0.16753628849983215
73,1,0.001,0.10504814982414246
74,1,0.001,0.11968344449996948
75,1,0.001,0.08278077840805054
76,1,0.001,0.09582982212305069
77,1,0.001,0.2352091372013092
78,1,0.001,0.17841069400310516
79,1,0.001,0.09733255952596664
80,1,0.001,0.09987150877714157
81,1,0.001,0.08774817734956741
82,1,0.001,0.1860889196395874
83,1,0.001,0.09065650403499603
84,1,0.001,0.10904858261346817
85,1,0.001,0.09406167268753052
86,1,0.001,0.09511107951402664
87,1,0.001,0.17731797695159912
88,1,0.001,0.10732594132423401
89,1,0.001,0.09709577262401581
90,1,0.001,0.09622175991535187
91,1,0.001,0.11364378035068512
92,1,0.001,0.0891415998339653
93,1,0.001,0.10067443549633026
94,1,0.001,0.102322056889534
95,1,0.001,0.07038713991641998
96,1,0.001,0.0818646028637886
